nm,exPts,exVar,wk
Chris Carson O,17.3869875401092,0.171130142827894,17
Chris Conley,12.5042494216858,0.388616637135932,17
Chris Godwin,8.51877623388224,0.739112336357472,17
Chris Harris Jr. IR,0,1.36157048222379e-18,17
Chris Herndon,0,1.2170329813125,17
Chris Hogan IR,5.29505494955508,3.95142729105914,17
Chris Jones,0,1.36157048222379e-18,17
Chris Lacy,2.90000001699378,1.75000001171985,17
Chris Lammons,0,1.36157048222379e-18,17
Chris Manhertz,0.29999996840655,0.321428511250571,17
Chris Moore IR,0.495055351033833,0.179292289677858,17
Chris Odom,0,1.36157048222379e-18,17
Chris Thompson,15.2563072423119,1.7242224627316,17
Chris Wormley IR,0,1.36157048222379e-18,17
Christian Blake,0,1.41397982082017,17
Christian Covington,0,1.36157048222379e-18,17
Christian Jones,0,1.36157048222379e-18,17
Christian Kirk,0,1.42495715681994,17
Christian Kirksey IR,0,1.36157048222379e-18,17
Christian McCaffrey Q,34.8997376954767,0.408423680141332,17
Christian Miller,0,1.36157048222379e-18,17
Christian Wilkins,7.10000077939713,3.75000043909698,17
Chuck Clark,0,1.36157048222379e-18,17
Cincinnati Bengals,0,1.53390603628961,17
Clay Matthews,0,1.36157048222379e-18,17
Clayton Fejedelem,0,1.36157048222379e-18,17
Clayton Geathers,0,1.36157048222379e-18,17
Clelin Ferrell,0,1.36157048222379e-18,17
Cleveland Browns,0,1.3885017329889,17
Clinton McDonald,0,1.36157048222379e-18,17
Clive Walford,4.82197823122053,2.84991797452552,17
Codey McElroy,4.00000019167973,3.75000019167973,17
Cody Core IR,0,0.250001289782512,17
Cody Davis Q,1.70000008615511,3.7500002027179,17
Cody Hollister,0,0.612637563907426,17
Cody Latimer,11.8041090976772,1.68189711852466,17
Cody Parkey,0,0.577072618798138,17
Cole Beasley,13.5955329333044,0.246140821853071,17
Cole Holcomb,0,1.36157048222379e-18,17
Colt McCoy,0.97186901219197,0.486264403175735,17
Cooper Kupp,28.9735505463934,1.06971796344457,17
Cordarrelle Patterson,4.84807704379614,1.01508348913634,17
Corey Davis,16.262938400728,1.60700530147872,17
Corey Nelson,0,1.36157048222379e-18,17
Corey Peters,0,1.36157048222379e-18,17
Cory Littleton,0,1.36157048222379e-18,17
Courtland Sutton IR,10.3657580529774,0.464728000802502,17
Cullen Gillaspia,0,1.36157048222379e-18,17
Curtis Riley,0,1.36157048222379e-18,17
Curtis Samuel,8.17880455320701,0.372274434321226,17
D'Ernest Johnson,0,0.871308627057629,17
D.J. Alexander,0,1.36157048222379e-18,17
D.J. Hayden IR,0,1.36157048222379e-18,17
D.J. Jones,0,1.36157048222379e-18,17
D.J. Moore,0,2.32008709470934,17
D.J. Reader IR,0,1.36157048222379e-18,17
